"Symbol","Common Name","Counties"
"ABLAA","corkbark fir","04005|04009|08027|08055|08079|08083|08093|08111|35006|35007|35027|35028|35033|35039|35047|35043|35049|35053|35055"
"ABBA","balsam fir","09003|09005|09009|09011|09013|23001|23003|23005|23007|23009|23011|23013|23015|23017|23019|23021|23023|23025|23027|23029|23031|24023|25001|25003|25005|25011|25015|25017|25023|25027|26001|26003|26007|26011|26013|26019|26029|26031|26033|26035|26039|26041|26043|26047|26051|26053|26055|26061|26063|26065|26069|26071|26073|26083|26089|26095|26097|26103|26105|26109|26119|26129|26131|26133|26135|26137|26143|26153|27001|27003|27005|27007|27017|27021|27029|27031|27035|27041|27045|27057|27059|27061|27065|27071|27075|27077|27087|27111|27115|27135|27137|27163|27169|33001|33003|33005|33007|33009|33011|33013|33015|33017|33019|34031|34037|36009|36013|36015|36019|36025|36029|36031|36033|36039|36041|36043|36045|36049|36053|36065|36067|36077|36081|36083|36095|36089|36101|36105|36109|36111|36115|36121|36123|42027|42035|42061|42069|42081|42089|42103|42105|42107|42113|42115|42117|42123|42127|42131|44007|50001|50003|50005|50007|50009|50011|50015|50017|50019|50021|50023|50025|50027|51113|51139|54023|54075|54083|54093|55001|55003|55005|55007|55009|55013|55017|55019|55021|55029|55031|55033|55035|55037|55041|55051|55061|55067|55069|55071|55073|55075|55078|55083|55085|55091|55097|55099|55107|55113|55115|55117|55109|55119|55121|55123|55125|55129|55131|55135|55141"
"ABGR","grand fir","06015|06023|06045|06093|06097|16003|16009|16015|16017|16021|16035|16039|16043|16049|16055|16057|16079|16081|16085|16087|30029|30063|30089|41001|41003|41005|41007|41009|41011|41013|41015|41017|41019|41023|41025|41027|41029|41031|41033|41035|41037|41039|41043|41047|41049|41051|41053|41059|41061|41063|41065|41067|41069|41071|53003|53007|53009|53015|53023|53029|53031|53033|53037|53041|53045|53049|53051|53053|53055|53057|53059|53065|53067|53069|53071|53075|53077"
"ABLAL","subalpine fir","04001|04005|04009|04019|06093|08003|08013|08019|08029|08045|08049|08053|08057|08069|08077|08085|08091|08093|08101|08107|08111|08117|16003|16005|16007|16013|16015|16017|16019|16029|16031|16035|16037|16039|16041|16043|16049|16057|16059|16073|16079|16081|16083|16085|30029|30031|30053|30057|30095|32007|32017|32023|32033|41001|41005|41017|41019|41023|41027|41029|41031|41033|41035|41037|41039|41043|41047|41059|41061|41063|49001|49003|49005|49007|49009|49013|49015|49017|49019|49021|49023|49025|49029|49031|49033|49035|49037|49039|49041|49043|49045|49047|49049|49051|49053|49055|49057|53003|53007|53009|53013|53015|53019|53023|53031|53037|53041|53045|53047|53051|53053|53057|53059|53061|53063|53065|53071|53073|53077|56001|56003|56007|56009|56013|56017|56019|56023|56025|56029|56033|56035|56037|56039|56041|56043"
"ABAM","Pacific silver fir","02130|06093|41003|41005|41007|41009|41017|41019|41027|41029|41031|41033|41039|41041|41043|41047|41051|41053|41065|41067|53007|53009|53015|53031|53033|53037|53041|53045|53047|53049|53053|53057|53059|53061|53067|53071|53073|53077"
"ABLA","subalpine fir","02100|02110|04001|04005|04009|04019|06093|08003|08013|08019|08027|08029|08045|08049|08053|08055|08057|08069|08077|08079|08083|08085|08091|08093|08101|08107|08111|08117|16003|16005|16007|16013|16015|16017|16019|16029|16031|16035|16037|16039|16041|16043|16049|16057|16059|16073|16079|16081|16083|16085|30029|30031|30053|30057|30095|32007|32017|32023|32033|35001|35003|35006|35007|35017|35027|35028|35033|35039|35047|35043|35049|35053|35055|41001|41005|41017|41019|41023|41027|41029|41031|41033|41035|41037|41039|41043|41047|41059|41061|41063|49001|49003|49005|49007|49009|49013|49015|49017|49019|49021|49023|49025|49029|49031|49033|49035|49037|49039|49041|49043|49045|49047|49049|49051|49053|49055|49057|53003|53007|53009|53013|53015|53019|53023|53031|53037|53041|53045|53047|53051|53053|53057|53059|53061|53063|53065|53071|53073|53077|56001|56003|56007|56009|56013|56017|56019|56023|56025|56029|56033|56035|56037|56039|56041|56043"
"ABMA","California red fir","06003|06005|06007|06009|06011|06017|06019|06021|06023|06027|06029|06033|06035|06039|06043|06045|06051|06057|06061|06063|06089|06091|06093|06103|06105|06107|06109|32510|32005|32031|36111|41015|41019|41029|41033|41035|41039"
"ABCO","white fir","04001|04003|04005|04007|04009|04015|04019|04021|04025|08003|08007|08021|08023|08027|08041|08055|08067|08083|08091|08105|08111|08119|16031|16049|16057|16085|16087|25013|32003|32007|32017|32023|32033|35003|35006|35007|35013|35017|35027|35028|35033|35035|35039|35045|35047|35043|35049|35051|35053|35055|49001|49003|49005|49007|49011|49013|49015|49017|49019|49021|49023|49025|49027|49029|49031|49035|49037|49039|49041|49043|49045|49047|49049|49051|49053|49055|49057|56037"
"ABLO","Sierra white fir","06003|06005|06007|06009|06011|06015|06017|06019|06021|06023|06027|06029|06033|06035|06037|06039|06043|06045|06049|06051|06057|06061|06063|06065|06071|06073|06079|06083|06089|06091|06093|06103|06105|06107|06109|06111|06115|32510|32005|32019|32029|32031"
"ABBR","bristlecone fir","06053|06079"
"ABBAB","balsam fir","09003|09005|09009|09011|09013|25001|25003|25011|25015|25017|25027|26001|26003|26007|26011|26013|26019|26029|26031|26033|26035|26039|26041|26043|26047|26051|26053|26055|26061|26063|26065|26069|26071|26073|26083|26089|26095|26097|26103|26105|26109|26119|26129|26131|26133|26135|26137|26143|26153|27001|27003|27005|27007|27017|27021|27029|27031|27035|27041|27045|27057|27059|27061|27065|27071|27075|27077|27087|27111|27115|27135|27137|27163|27169|36009|36013|36015|36019|36025|36029|36031|36033|36039|36041|36043|36045|36049|36053|36065|36067|36077|36081|36083|36095|36089|36101|36105|36109|36111|36115|36121|36123|42027|42035|42061|42069|42081|42089|42103|42105|42107|42113|42115|42117|42123|42127|42131|44007|55001|55003|55005|55007|55009|55013|55017|55019|55021|55029|55031|55033|55035|55037|55041|55051|55061|55067|55069|55071|55073|55075|55078|55083|55085|55091|55097|55099|55107|55113|55115|55117|55109|55119|55121|55123|55125|55129|55131|55135|55141"
"ABBAP","balsam fir","51113|51139|54083"
"ABMAM","California red fir","06011|06017|06019|06021|06023|06027|06033|06045|06089|06093|06105|06107|41015|41019|41029|41033|41035|41039"
"ABFR","Fraser fir","13111|37011|37043|37087|37099|37121|37173|37175|37189|37199|47019|47155|51077|51173"
"ABMAS","Shasta red fir","06011|06017|06019|06021|06023|06027|06033|06045|06089|06093|06105|06107|41015|41019|41029|41033|41035|41039"
"ABPR","noble fir","06015|06023|06093|41003|41005|41007|41015|41017|41019|41027|41029|41031|41033|41035|41039|41041|41043|41047|41051|41053|41057|41065|41067|53007|53015|53041|53049|53053|53059"
"ABAL","Ramshaw Meadows sand verbena","06107"
"ABAB70","abietinella moss","34037"
"ABAM3","Wyoming sand verbena","56035"
"ABOV","flatspike sedge","12011|12017|12053|12086|12087|12115|70002|70004|70212|70214|70218|70222|70224|70226|70227|70228|72007|72013|72021|72023|72033|72037|72051|72053|72071|72091|72097|72115|72117|72119|72121|72127|72131|72139|72143|72145|72153|78010|78020"
"ABAM2","Amelia's sand verbena","48047|48215|48247|48261|48273|48297|48427"
"ABAN","purple sand verbena","04003|04005|04009|04013|04019|04021|04027|35013|35035|48043|48109|48141|48139|48229|48377|48389"
"ABAU3","devil's-cotton","70002|70004|70010|70150|70212|70214|70218|70222|70224|70226|70227|70228|70350"
"ABCA","Carleton's sand verbena","08009|08115|08125|35011|35015|35027|48109"
"ABAR","clay sand verbena","08077|08103|49019|49047"
"ABBI","Galisteo sand verbena","35039|35043|35049"
"ABBO","Bolack's sand verbena","35045"
"ABFR2","snowball sand verbena","04001|04005|04017|08001|08005|08009|08011|08013|08015|08017|08025|08031|08041|08039|08055|08059|08061|08063|08069|08071|08073|08075|08087|08089|08095|08099|08101|08115|08121|08123|08125|20007|20023|20055|20071|20075|20081|20093|20119|20129|20175|20181|20189|30001|30009|30079|30091|31005|31007|31013|31033|31045|31057|31069|31075|31101|31105|31119|31123|31157|31161|31165|35001|35003|35005|35006|35009|35011|35013|35015|35021|35031|35037|35039|35041|35045|35047|35043|35049|35053|35055|35057|35059|38053|40025|40057|40065|40139|46033|46047|48003|48011|48017|48045|48075|48081|48101|48103|48107|48109|48111|48117|48123|48125|48135|48139|48151|48169|48191|48197|48205|48211|48219|48227|48233|48263|48277|48279|48301|48341|48359|48375|48393|48433|48475|48487|48495|49001|49003|49005|49007|49009|49011|49013|49015|49017|49019|49021|49023|49025|49027|49031|49035|49037|49039|49041|49043|49045|49047|49049|49051|49053|49055|49057|53025|56001|56003|56005|56007|56009|56011|56015|56021|56025|56027|56029|56031|56037|56043|56045"
"ABEL","fragrant white sand verbena","04001|04005|04015|04017|08029|08037|08045|08077|08081|08083|08085|08103|08113|32003|32007|32011|32017|32023|32033|35045|56001|56003|56007|56013|56023|56037|56041"
"ABGR2","slender sand verbena",""
"ABIN2","island sand verbena",""
"ABLA2","coastal sand verbena","06001|06015|06023|06041|06045|06053|06075|06079|06083|06087|06097|41007|41011|41015|41019|41039|41041|41057|53009|53025|53027|53029|53031|53035|53049|53055|53057"
"ABME","white sand verbena","16001|16011|16013|16019|16023|16027|16039|16043|16045|16051|16065|16067|16073|16077|16083|16087|41021|41025|41045|41049|41055|41059|41065|49005|53001|53005|53017|53021|53025|53037|53039|53043|53071|53077|56035"
"ABNA","dwarf sand verbena","04001|04005|04015|06027|06051|06071|08077|08085|32003|32007|32017|32023|32033|35031|35045|35043|49001|49015|49017|49023|49025|49027|49041|49053"
"ABMA5","largefruit sand verbena","48161|48289|48395"
"ABMA2","red sand verbena","06037|06059|06073|06079|06083|06111"
"ABNAC","Coville's dwarf sand verbena","06027|06051|06071|32003"
"ABNAH","Harris' dwarf sand verbena","35031|35045|35043|49015"
"ABNAN","dwarf sand verbena","04001|04005|04015|08077|08085|32003|32007|32017|32033|49001|49015|49017|49023|49025|49027|49041|49053"
"ABMI2","little sand verbena","06079"
"ABUMB","pink sand verbena","06015|06023|06041|06045|06053|06097|41007|41011|41015|41019|41039|41041|41057|53009|53035"
"ABNE","beach sand verbena",""
"ABUM","pink sand verbena","06001|06015|06023|06025|06037|06041|06045|06053|06059|06073|06075|06079|06081|06083|06087|06097|06111|41007|41011|41015|41019|41039|41041|41057|53009|53035|53049"
"ABPO","Mojave sand verbena","06019|06027|06029|06031|06037|06047|06069|06071|06073|06079|06083|32003"
"ABTU","transmontane sand verbena","06027|06029|06051|06063|06071|06111|32510|32001|32003|32007|32009|32013|32015|32017|32019|32021|32023|32027|32029|32031|41025|41045"
"ABUMU","pink sand verbena","06025|06037|06041|06045|06053|06059|06073|06075|06079|06081|06083|06087|06097|06111"
"ABVI","desert sand verbena","04012|04013|04015|04019|04021|04027|06025|06027|06029|06037|06051|06059|06065|06071|06073|06075|32003|32017|49053"
"ABVIA","desert sand verbena","06059|06065|06071|06073"
"ABVIV","desert sand verbena","04012|04013|04015|04019|04021|04027|06025|06027|06029|06051|06065|06071|06073|32003|32017|49053"
"ABAB","shrubby Indian mallow","04003|04009|04013|04019|04021|04023|04025|48061|48215|48409|48427|48479"
"ABBE","Berlandier's Indian mallow","48007|48013|48025|48061|48121|48127|48131|48175|48177|48215|48249|48255|48261|48273|48281|48297|48317|48309|48427|48479|48489"
"ABFR3","Texas Indian mallow","05065|05071|05101|05137|48007|48021|48025|48027|48029|48031|48043|48053|48057|48061|48091|48105|48109|48121|48127|48131|48137|48139|48145|48163|48169|48171|48177|48209|48215|48243|48253|48255|48261|48265|48267|48271|48273|48281|48297|48299|48315|48317|48309|48311|48327|48355|48367|48371|48377|48395|48409|48411|48413|48415|48425|48427|48431|48435|48441|48443|48453|48463|48465|48479|48491"
"ABER","hiddenpetal Indian mallow","15009"
"ABIN","pelotazo","04003|04009|04011|04012|04013|04015|04019|04021|04025|04027|08009|15003|15007|15009|35017|35029|35051"
"ABHY","whiteleaf Indian mallow","48061|48271"
"ABIN3","monkeybush","15003|69085|69110|70370|74050|74150|74450"
"ABINA","","69085|69110|74150|74450"
"ABME2","ko'oloa 'ula","15001|15003|15009"
"ABPA","Palmer's Indian mallow","04003|04013|04019|04027|06073"
"ABMO2","Sonoran Indian mallow","04003|04007|04009|04011|04013|04019|04021|04023|35023|35029|48139"
"ABMA3","yellow Indian mallow","04012|04013|04019|04021|04027|35013|35017|35023|35029|48043|48139|48243|48377|48389"
"ABPE","coastal Indian mallow","12011|12021|12081|12086|12087"
"ABRE","yellowflower Indian mallow","04019"
"ABSA2","greenflower Indian mallow","15003"
"ABTH2","Thurber's Indian mallow","04019"
"ABTR","anglestem Indian mallow","48061|48215"
"ABWR","Wright's Indian mallow","48025|48029|48043|48061|48103|48105|48109|48137|48175|48243|48247|48249|48255|48261|48271|48273|48297|48371|48377|48389|48409|48427|48443|48453|48465|48505"
"ACAN","prairie acacia","04009|04011|04013|04025|05007|05015|05019|05057|05065|05067|05087|05089|05115|05135|05143|12001|12017|12029|12065|12075|20019|20035|20125|20129|22015|22017|22021|22031|22059|22069|22085|22115|22127|29009|29097|29119|29145|29149|29153|29209|29213|35005|35013|35015|35017|35023|35029|35035|35037|35051|40009|40013|40019|40023|40027|40031|40039|40047|40049|40051|40065|40067|40073|40075|40081|40083|40085|40095|40097|40087|40099|40101|40109|40119|40123|40125|40129|40135|40149|48007|48021|48027|48029|48039|48041|48043|48049|48051|48053|48055|48059|48073|48083|48085|48091|48097|48099|48101|48105|48107|48109|48113|48121|48125|48141|48143|48145|48147|48161|48167|48171|48175|48181|48185|48193|48197|48209|48229|48231|48237|48243|48249|48255|48259|48265|48271|48273|48277|48289|48303|48321|48309|48327|48339|48349|48355|48367|48371|48377|48385|48387|48391|48395|48409|48411|48417|48423|48433|48435|48439|48441|48453|48463|48471|48473|48477|48493|48499"
"ACANC","Chisos prairie acacia","48043|48109|48141|48229|48243|48377"
"ACANH","prairie acacia","04009|05007|05015|05019|05057|05065|05067|05087|05089|05115|05135|05143|12001|12017|12029|12065|12075|20019|20035|20125|20129|22015|22017|22021|22031|22059|22069|22085|22115|22127|29009|29097|29119|29145|29149|29153|29209|29213|35005|35013|35015|35017|35023|35029|35035|35037|35051|40009|40013|40019|40023|40027|40031|40039|40047|40049|40051|40065|40067|40073|40075|40081|40083|40085|40095|40097|40087|40099|40101|40109|40119|40123|40125|40129|40135|40149|48007|48021|48027|48029|48039|48041|48049|48051|48053|48055|48059|48073|48083|48085|48091|48097|48099|48101|48105|48107|48113|48121|48125|48143|48145|48147|48161|48167|48171|48175|48181|48185|48193|48197|48209|48231|48237|48249|48255|48259|48265|48271|48273|48277|48289|48303|48321|48309|48327|48339|48349|48355|48367|48371|48385|48387|48391|48395|48409|48411|48417|48423|48433|48435|48439|48441|48453|48463|48471|48473|48477|48493|48499"
"ACANL","whitehair acacia","48127|48427|48479"
"ACANS2","prairie acacia","04001|04003|04005|04007|04009|04017|04019|04023|35023"
"ACANS","Shreve's prairie acacia","04003|04023"
